Rule,Customer,Product_Group,Recency,Avg_Price_L3Y,Revenue_L12,Customer_Size,l3y_volume,standard_cost,l12_sales_vol,Current_Price,Subrules,lnvolume,lnAvg_Price_L3Y,term.x,elasticity,pinc,pinc_constrained,node,segment,target_volume,target_price,elasticity_
4,1995111,Product_A,11.0,31.4,121.0,1467.06,14.96,10,5.0,34.54,,"2,70537997254633","3,44680789291421",lnAvg_Price_L3Y,"-0,507570374710529","0,629844772639901","0,196968438617991",32.562083,1,2.7053799725463312,3.4468078929142076,-2.8273222818829042
4,10149,Product_A,1.0,28.6,116.0,11167.05,16.22,10,5.4,31.46,,"2,78624504868727","3,35340671782581",lnAvg_Price_L3Y,"-0,507570374710529","0,644017050853873","0,196968438617991",32.562083,1,2.7862450486872667,3.353406717825807,-2.8273222818829042
4,2505278,Product_A,2.0,29.9,112.0,4075.05,3.74,10,1.2,32.89,,"1,31908561142644","3,39785848039664",lnAvg_Price_L3Y,"-0,507570374710529","0,637106964892402","0,19696843861799",32.562083,1,1.3190856114264407,3.3978584803966405,-2.8273222818829042
4,14598,Product_A,2.0,31.4,122.0,3459.03,14.44,10,4.8,34.54,,"2,67000213346468","3,44680789291421",lnAvg_Price_L3Y,"-0,507570374710529","0,629844772639902","0,19696843861799",32.562083,1,2.67000213346468,3.4468078929142076,-2.8273222818829042
4,14635,Product_A,4.0,26.8,119.0,6125.17,76.61,10,25.5,29.48,,"4,33872761652873","3,28840188751681",lnAvg_Price_L3Y,"-0,507570374710529","0,654691586630172","0,196968438617991",23.578846,0,4.33872761652873,3.288401887516811,-1.5277393273690447
4,15351,Product_A,5.0,29.0,108.0,149.34,3.74,10,1.2,31.9,,"1,31908561142644","3,36729582998647",lnAvg_Price_L3Y,"-0,507570374710529","0,641824885652304","0,19696843861799",32.562083,1,1.3190856114264407,3.367295829986474,-2.8273222818829042
4,2359858,Product_A,3.0,25.0,105.0,3878.41,15.39,10,5.1,27.5,,"2,73371794785079","3,2188758248682",lnAvg_Price_L3Y,"-0,507570374710529","0,666903255558259","0,196968438617991",23.578846,0,2.733717947850788,3.2188758248682006,-1.5277393273690447
4,2036395,Product_A,7.0,43.7,105.0,667.0,7.49,10,2.5,48.07,,"2,01356879752913","3,77734810210154",lnAvg_Price_L3Y,"-0,507570374710529","0,589100051896929","0,196968438617991",43.7125,3,2.0135687975291283,3.7773481021015445,-0.9702708662341689
4,16092,Product_A,8.0,25.9,109.0,18492.93,189.72,10,63.2,28.49,,"5,24554930100938","3,25424296870549",lnAvg_Price_L3Y,"-0,507570374710529","0,660585249240251","0,196968438617991",23.578846,0,5.2455493010093805,3.254242968705492,-1.5277393273690447
4,2699170,Product_A,11.0,33.9,127.0,167.3,3.74,10,1.2,37.29,,"1,31908561142644","3,5234150143864",lnAvg_Price_L3Y,"-0,507570374710529","0,619169278620741","0,19696843861799",32.562083,1,1.3190856114264407,3.5234150143864045,-2.8273222818829042
4,2748266,Product_A,1.0,108.8,109.0,141.47,3.74,10,1.2,119.68,,"1,31908561142644","4,68951133442184",lnAvg_Price_L3Y,"-0,507570374710529","0,526863148606388","0,19696843861799",71.91619,7,1.3190856114264407,4.689511334421843,-0.012193749145252713
4,2699696,Product_A,5.0,27.4,123.0,735.94,11.23,10,3.7,30.14,,"2,41858876875035","3,31054301339402",lnAvg_Price_L3Y,"-0,507570374710529","0,650977575399001","0,196968438617991",23.578846,0,2.418588768750352,3.3105430133940246,-1.5277393273690447
4,2404285,Product_A,4.0,40.2,123.0,268.51,3.05,10,1.0,44.22,,"1,11514159061932","3,69386699562498",lnAvg_Price_L3Y,"-0,507570374710529","0,598156082333473","0,196968438617991",38.593114,2,1.1151415906193203,3.6938669956249757,3.5486237915839074
4,2404451,Product_A,6.0,34.8,107.0,1725.22,16.33,10,5.4,38.28,,"2,79300390698237","3,54961738678043",lnAvg_Price_L3Y,"-0,507570374710529","0,615701583666932","0,196968438617991",32.562083,1,2.7930039069823738,3.5496173867804286,-2.8273222818829042
4,20355,Product_A,3.0,34.0,120.0,155.36,3.54,10,1.2,37.4,,"1,26412672714568","3,52636052461616",lnAvg_Price_L3Y,"-0,507570374710529","0,618774913312268","0,19696843861799",32.562083,1,1.264126727145683,3.5263605246161616,-2.8273222818829042
4,2408407,Product_A,9.0,42.6,123.0,725.76,7.9,10,2.6,46.86,,"2,06686275947298","3,75185425327532",lnAvg_Price_L3Y,"-0,507570374710529","0,591785884666237","0,19696843861799",43.7125,3,2.066862759472976,3.751854253275325,-0.9702708662341689
4,2706874,Product_A,8.0,27.8,122.0,716.29,11.22,10,3.7,30.58,,"2,41769790009455","3,32503602069659",lnAvg_Price_L3Y,"-0,507570374710529","0,648590632929087","0,196968438617991",23.578846,0,2.4176979000945504,3.3250360206965914,-1.5277393273690447
4,2027937,Product_A,5.0,32.5,122.0,201.75,3.74,10,1.2,35.75,,"1,31908561142644","3,48124008933569",lnAvg_Price_L3Y,"-0,507570374710529","0,624945213600216","0,19696843861799",32.562083,1,1.3190856114264407,3.481240089335692,-2.8273222818829042
4,2028377,Product_A,9.0,27.3,105.0,555.51,11.22,10,3.7,30.03,,"2,41769790009455","3,30688670219091",lnAvg_Price_L3Y,"-0,507570374710529","0,651585240240242","0,196968438617991",23.578846,0,2.4176979000945504,3.3068867021909143,-1.5277393273690447
4,2741178,Product_A,5.0,28.0,105.0,521.22,3.74,10,1.2,30.8,,"1,31908561142644","3,3322045101752",lnAvg_Price_L3Y,"-0,507570374710529","0,647422736077741","0,19696843861799",23.578846,0,1.3190856114264407,3.332204510175204,-1.5277393273690447
4,2097124,Product_A,8.0,29.0,123.0,18211.0,11.65,10,3.9,31.9,,"2,45530618001171","3,36729582998647",lnAvg_Price_L3Y,"-0,507570374710529","0,6418248856523","0,196968438617991",32.562083,1,2.4553061800117097,3.367295829986474,-2.8273222818829042
4,2743198,Product_A,11.0,35.0,121.0,161.1,3.46,10,1.2,38.5,,"1,24126858906963","3,55534806148941",lnAvg_Price_L3Y,"-0,507570374710529","0,614955203610205","0,19696843861799",32.562083,1,1.2412685890696329,3.5553480614894135,-2.8273222818829042
4,2031461,Product_A,2.0,21.2,116.0,3513.79,7.48,10,2.5,23.32,,"2,01223279198639","3,05400118167797",lnAvg_Price_L3Y,"-0,507570374710529","0,699493307016233","0,196968438617991",23.578846,0,2.012232791986386,3.054001181677967,-1.5277393273690447
4,2720680,Product_A,12.0,26.9,121.0,18504.47,15.38,10,5.1,29.59,,"2,7330679640775","3,29212628660779",lnAvg_Price_L3Y,"-0,507570374710529","0,654061079147308","0,196968438617991",23.578846,0,2.733067964077498,3.292126286607793,-1.5277393273690447
4,21466,Product_A,6.0,32.9,125.0,20099.36,7.48,10,2.5,36.19,,"2,01223279198639","3,49347265777133",lnAvg_Price_L3Y,"-0,507570374710529","0,623244786367873","0,196968438617991",32.562083,1,2.012232791986386,3.493472657771326,-2.8273222818829042
4,2241374,Product_A,7.0,33.3,127.0,7012.95,7.51,10,2.5,36.63,,"2,01623546577604","3,5055573969864",lnAvg_Price_L3Y,"-0,507570374710529","0,621585210240212","0,196968438617991",32.562083,1,2.0162354657760435,3.505557396986398,-2.8273222818829042
4,2745345,Product_A,7.0,33.4,125.0,169.88,3.74,10,1.2,36.74,,"1,31908561142644","3,50855589998265",lnAvg_Price_L3Y,"-0,507570374710529","0,6211765271968","0,19696843861799",32.562083,1,1.3190856114264407,3.5085558999826545,-2.8273222818829042
4,2725077,Product_A,12.0,33.9,127.0,7260.45,3.74,10,1.2,37.29,,"1,31908561142644","3,5234150143864",lnAvg_Price_L3Y,"-0,507570374710529","0,619169278620741","0,19696843861799",32.562083,1,1.3190856114264407,3.5234150143864045,-2.8273222818829042
4,21679,Product_A,7.0,34.1,121.0,50892.38,3.54,10,1.2,37.51,,"1,26412672714568","3,52929738428947",lnAvg_Price_L3Y,"-0,507570374710529","0,618382860996807","0,19696843861799",32.562083,1,1.264126727145683,3.529297384289471,-2.8273222818829042
4,22563,Product_A,4.0,26.9,121.0,945.37,11.22,10,3.7,29.59,,"2,41769790009455","3,29212628660779",lnAvg_Price_L3Y,"-0,507570374710529","0,654061079147307","0,196968438617991",23.578846,0,2.4176979000945504,3.292126286607793,-1.5277393273690447
4,2735999,Product_A,8.0,30.0,105.0,312.24,7.13,10,2.4,33.0,,"1,9643112344262","3,40119738166216",lnAvg_Price_L3Y,"-0,507570374710529","0,636600225255229","0,19696843861799",32.562083,1,1.9643112344262046,3.4011973816621555,-2.8273222818829042
4,2654916,Product_A,9.0,28.1,117.0,184.15,4.16,10,1.4,30.91,,"1,42551507427317","3,3357695763397",lnAvg_Price_L3Y,"-0,507570374710529","0,646845021976893","0,196968438617991",23.578846,0,1.425515074273172,3.3357695763397,-1.5277393273690447
4,2709158,Product_A,11.0,34.4,107.0,527.98,3.11,10,1.0,37.84,,"1,13462272619114","3,53805656437935",lnAvg_Price_L3Y,"-0,507570374710529","0,617220380293987","0,196968438617991",32.562083,1,1.1346227261911428,3.5380565643793527,-2.8273222818829042
4,2745111,Product_A,7.0,34.5,127.0,206.96,3.68,10,1.2,37.95,,"1,30291275218084","3,54095932403731",lnAvg_Price_L3Y,"-0,507570374710529","0,616837379405425","0,19696843861799",32.562083,1,1.3029127521808397,3.5409593240373143,-2.8273222818829042
4,2742174,Product_A,12.0,37.0,112.0,221.96,3.03,10,1.0,40.7,,"1,10856261952128","3,61091791264422",lnAvg_Price_L3Y,"-0,507570374710529","0,6079351965902","0,196968438617991",38.593114,2,1.1085626195212777,3.6109179126442243,3.5486237915839074
4,2638071,Product_A,3.0,31.0,116.0,4396.7,35.74,10,11.9,34.1,,"3,57627050973128","3,43398720448515",lnAvg_Price_L3Y,"-0,507570374710529","0,631712639722481","0,196968438617991",32.562083,1,3.576270509731282,3.4339872044851463,-2.8273222818829042
